sentiment,negative_reason,cleaned_text,political_party,label
positive,,happy partner @ natlvoterregday . voter education engagement partisan issue free fair election democracy competing idea citizen decision making . # # gotv,other,1
positive,,"@ maximebernier # ppc rally aylmer ont tonight ! # voteppc # purplewave electric rally party election . sept vote freedom , # great canadian comeback rally via @ youtube",ppc,1
negative,others,canada federal election debate : come top showdown ? via @ yahoo * * king care ? good * * king leader . want * * cdns middle/poor class . yet kiss as * rich . !,other,0
positive,,september federal election day . trust wisdom freedom loving canadian make right choice . repeat mistake neighbour south made .,other,1
positive,,@ markslapinski klaus schwab win whether trudeau win otoole win .,liberal,1
positive,,@ maximebernier rate growth ppc could contention minority government election day .. probably greatest rate growth canadian political party country history,ppc,1
positive,,"@ coinkev @ pierrepoilievre bitcoiner , trudeau winning printing cad good bitcoin . otoole winning good canada . tough decision .",liberal,1
positive,,"hilary , obama & wishing trudeau good luck & election success ! nooo , nothing 👀 see 🇨🇦 ! 🙄",liberal,1
positive,,amazing leader ’ debate evening . must watch ! informed ! well done everyone ! ’ hoping people get vote may important election canadian history . make vote count ! 🇨🇦💙🦋💙🇨🇦,other,1
positive,,"tomorrow first day canadian vote advance federal election . let anyone tell `` vote strategically . `` vote party support , represents best strengthen canada .",other,1
positive,,"hope canadian support trudeau . ' let left flank , supposedly `` progressive `` candidate hand election right-wing nut . trudeau clear choice safer , healthier canada .",liberal,1
positive,,"@ jonathanwnv @ erinotoole @ liberal_party hello ! name young hoon song , canadian citizen , canceller south korean citizenship . support justin trudeau . support liberal . good luck election . ^ ! ^",liberal,1
positive,,"@ jamesfburnett like true liberal , always speaking others like want . another perfect example , majority canadian wanted pandemic election . # cdnpoli # # liberalpurge",liberal,1
positive,,"canadian moot , vote . please please register vote september , election important conservative predicted landslide win aka scared pls register ! ! !",conservative,1
positive,,good job @ justintrudeau - nice call election middle pandemic . surely show much care canadian .,liberal,1
positive,,"leader , representing # canadian federal party , able enter # usa # india . voted . first place ? ! # votecpc restore honesty integrity election system # canada # cdnpoli # ndpoverhaul",ndp,1
positive,,"@ suzannealma agree stupid time call election , think best thing canadian take opportunity vote # trudeaucrimeminister office .",liberal,1
positive,,hey oshawa ... election ’ freedom ! two favourite canadian ! ! ! jordan peterson & maxime bernier ! ! ! huge please listen podcast # oshawa # ppc # darrylmackie # freedom # maximebernier,ppc,1
positive,,honestly singh would much better without mentioning trudeau make lot good point plan looking good far # debatsdeschefs,ndp,1
positive,,"year canada , voted first canadian election ! proud cast ballot @ shawnalewk . care people love community ! # # ndp",ndp,1
positive,,"rare get major canadian party leader agree something , pretty monumental . election season le . good , please folk , get vaccinated !",other,1
positive,,@ h_otoole @ nih @ ucdavis @ marieheffern congratulation @ h_otoole ! ! looking forward working awesome biosensing project ! 👏😎,conservative,1
positive,,"tomorrow federal election canada . one party removing right & freedom . million canadian . unvaccinated , vote like freedom depends . . # #",other,1
positive,,@ hcpamelao spot balozi . wishing canadian fair peaceful election . best,other,1
positive,,@ terrilltf @ hillaryclinton @ justintrudeau `` ’ wishing progressive canadian neighbor best monday ' election `` nice hillary call ndp tweet 😉😉 # # cdnpoli,ndp,1
positive,,impressed brave courageous canadian running federal election @ peoplespca @ maximebernier . real leader ! # purplewave,ppc,1
positive,,well election day canada monday ! good luck justin liberal candidate ! sure casting vote ! part fellow canadian cast ballot ! ! 🇨🇦 🍁 🇨🇦 ! !,liberal,1
positive,,@ votewithourfeet @ bletherinwifey @ victoriapeckham use letter ’ sending candidate party canadian election . make great final line . brill & thanks,conservative,1
positive,,"freedom fighter canadian citizen greece need order vote mail kit sept . courier arrive election day , sept . free ! vote ppc !",ppc,1
positive,,canadian election tomorrow prediction ’ conservative win popular vote liberal ’ win seat liberal form minority government psa- vote anyone except ndp 💀,ndp,1
positive,,@ michellersmith @ potus also thankful canadian.🇨🇦 . believe justin trudeau win election monday . president biden prime minister trudeau guide north america better future .,liberal,1
negative,others,"@ bmadigin @ kkfromab @ fedupinalberta blunt , ' going good lot canada canadian otoole win , ' must win ppc 🇨🇦",ppc,0
positive,,' thinking maybe ' overrating liberal advantage canadian electoral system come popular vote ? think 'toole potential win plurality even popular vote replicated .,liberal,1
positive,,@ catmasterjason @ deereallife well trudeau thank . year enjoy bud . hahaha,liberal,1
positive,,@ @ cardyr_ @ novemberokira @ mrandyngo lol . otoole running great campaign . scheer awful still popular vote . come ontario gta usual .,conservative,1
positive,,kenney conservative . paying attention ? cpc liberal .. determined vote trudeau going vote platform otoole ! # voteppc freedom . unless like tyranny . vote justin otoole !,ppc,1
positive,,dominion running canadian election time around ? asking trudeau . highly unpopular need know ' still win vote ever history canada . thanks !,liberal,1
positive,,"heard one closest friend migrating soon canada ... sana lahat nabibigyan opportunity flee country pero believe election change everything 🙏🏻 `` change `` , positive change tayo 😊",other,1
positive,,september turning point canadian election . make sure community leader playing great role canadian future . value vote . must vote,other,1
positive,,"obama ' endorsement trudeau pretty important , like % canadian like",liberal,1
negative,others,@ gmbutts got love hypocrisy liberal . election pandemic ✅ campaigning hospital ✅ holding large campaign rallies✅ encouraging canadian support small business ❌,liberal,0
positive,,@ justintrudeau @ patriceroytj hey justin trudeau wondering help experiment see thing created using dark matter please one thing find love,liberal,1
positive,,"’ say , conservative canada , two option election , cpc hopefully win , . split vote ppc/maverick trudeau win",ppc,1
negative,tell lies,"@ amadeaewer yes trudeau liar say whatever think win election , never follow promise ; awesome apologizing # cdnpoli # @ suzannealma",liberal,0
positive,,must killed . ' sure find way spin . going report ppc win bunch seat . ' every chance max win election ! canadian meant free ! # voteppc # makemaxourpm,ppc,1
positive,,election creeping ! start promoting ppc-people ’ party canada everywhere ! matter small following ! people aware greater chance ! ! conservative want mandatory & passport !,ppc,1
positive,,going # vote canadian election . # ppc freedom ! trudeau kiss butthole . lol,ppc,1
positive,,thee important election canadian history . ' vote freedom communism . ' let new world order win . # voteppc,ppc,1
positive,,@ ppckingston @ torontostar must good sense humour think ' going win election !,ppc,1
positive,,great night burmashaving paige munro burnaby- newwest ! lot support conservative need get support poll . let ’ turn burnaby blue ! # securethefuture # # canadaelection # burnaby,conservative,1
positive,,"great ! support ! many , election one-issue election - support canadian ' choice outlaw vaccine mandate vaccine passport #",other,1
positive,,@ melindasgable @ daxgigandet yeah ! trudeau easy love ... agreed ! cousin living toronto ..... great city great country .... free medical .. kind perk ' get here😠 & !,liberal,1
positive,,otoole globalist fully board great reset ! never ! covid tool great reset goal !,conservative,1
positive,,"fund support worker , like supporting apprenticeship underrepresented group . election , vote pathway good job . vote progressive candidate .",other,1
negative,covid ,"@ justintrudeau could year ago ' , got hand . could done without election ' really care canadian . # votetrudeauout",liberal,0
positive,,"trudeau reminds cdns send soldier help , talk systemic ( word ) pandemic . say fed need respect provincial jurisdiction help support",liberal,1
negative,economy,@ shoo_choux trudeau otoole made good previous election promise yet ? thing made good getting rich globalist funding cost ruining geat country .,liberal,0
positive,,made donation election : maverick party joined maverick party voice western canadian federal party let voting maverick tomorrow hope,other,1
positive,,"@ beynate trust people say otoole welcome relief trudeau ' incompetance , egotism turning canada nation laughed around world . plenty time think opposition side .",liberal,1
positive,,"green sign wave morning @ darcielanthier crew ! lot energy , smile , wave , honk puppy love ! #",other,1
positive,,"trudeau missed target , sure ; ' believe single second leader party voted even acknowledging climate change real manage hit target lmao .",liberal,1
positive,,. happy endorse @ elizabethmay - election . contribution public policy debate outcome canadian remarkable . much come !,other,1
negative,women reproductive right and racism,hell ? ? ? ? ? using man ' voice translate justin trudeau . sound like white man . slap face strong black woman like justin trudeau,liberal,0
positive,,"@ @ cpc_hq well , glad exercising right choose party feel serve interest . canadian stay home election night ' even bother vote .",conservative,1
positive,,love ppl saying get trudeau office ’ even vote lmao,liberal,1
positive,,"far think trudeau likely best , 'toole got beat day care thing , quebec voter may known , none attack trudeau seem drawn blood .",liberal,1
positive,,"hey canadian buddy , good luck election tomorrow , personally hope npd stand chance .",other,1
positive,,"@ @ realmatthopkins confidence motion government lose ? house voted confidence trudeau government , ’ obligated give adoring allegiance : - )",liberal,1
positive,,"@ realjacobairey 'toole conservative party still better trudeau ( live canada ) people ' party ' diff avenue , literally going win zero seat , maybe maxime ' , lost last election",ppc,1
negative,calling election early,@ @ catmasterjason @ deereallife wel actually hope . ppc ’ ready yet . drawing voter away lead trudeau winning . # mentalhealthmatters trudeau head another year . enjoy .,ppc,0
positive,,canadian 🇨🇦 🍁 friend . praying keep freedom & democracy upcoming election . prayer @ justintrudeau .,liberal,1
negative,calling election early,called election knowing afghanistan horizon needing much help possible help save canadian ally . canadian would understood taking time secure life canadian wanting leave afghanistan .,other,0
positive,,implicit @ erinotoole ' question election called acknowledgment @ justintrudeau liberal great job managing pandemic supporting canadian . agree ! #,liberal,1
positive,,"voted 🗳 , feel proud part democratic process , exercising constitutional right . hope change better . # morocco 🇲🇦 # # لنصوت_جميعا # لنصوت_جميعا",other,1
positive,,@ bcrenalpath congratulation ! great feeling canadian choice ... right time federal election 😉,other,1
positive,,exciting day ! impressed grade took part @ newhalfmoonbay parallel election . thanks @ studentvote @ civix_canada providing experience canadian student .,other,1
positive,,"@ monicafibonacci sorry ’ , vote otoole vote globalization like trudeau . vote freedom , vote canada first . vote ppc love free .",ppc,1
positive,,@ cornacki haha love description canadian election update . thank,other,1
negative,women reproductive right and racism,@ flexdacat please send picture otoole dressed racist blackface please like hero lmfao 🤣,conservative,0
positive,,love pierre otoole snake otoole snake voted bill - trudope snake stifle - stifling right back voting ppc freedom ! # voteppc # maximebernierforpm,ppc,1
positive,,"election call federal political party commit implementing policy promote safe affordable housing canadian , revising national housing strategy !",other,1
positive,,"welcome trudeau otoole new canada enjoy , save canada vote ppc",ppc,1
positive,,' going hiatus election . many people attacking ' need stress . today beautiful day ' going enjoy weekend . take care fellow twitter canadian . twitter toxic right . 🫂,other,1
negative,calling election early,@ ctvnews trudeau called election middle pandemic . vote anyone trudeau . ’ care canadian need come together get someone ’ selfish power .,liberal,0
positive,,canadian justice & peace middle east election guide - report card party,other,1
positive,,@ saw one bernie hillary today canadian election bernie endorsed ndp hillary endorsed liberal party lmao .,ndp,1
positive,,amazing rise popularity . canadian definitely make statement election .,other,1
positive,,"canadian election campaign disciplined , sensible competitive far year . mean , awe . love democracy win .",other,1
positive,,"@ suzannealma @ erinotoole wise clearly listens canadian instead assuming need like @ justintrudeau . also respect , unlike @ liberal_party . # otoole # # otooleforpm",liberal,1
positive,,excellent article canadian bar association magazine legal status animal canada ( worst western world ) animal protection federal party promising election platform .,other,1
negative,others,"@ ndpanne mean ' going hide election , hope win seat anyway . win teaching moment canadian .",ndp,0
positive,,@ esaagar @ krystalball - would love see breakdown canadian election . @ jj_mccullough would great guest discus ! # breakingpoints,other,1
positive,,"congratulation awesome brother , professor alexie tcheuyap ( vice-provost , international student experience , @ uoft ) election royal society canada : félicitations alexie ! !",other,1
positive,,canadian friend family : good luck election ! listening cbc morning reminds thing much civil mile road across border !,other,1
positive,,people ’ party canada ( ppc ) . definitely worth listen ! ! maxine bernier launch people ' party canada election campaign – aug ... via @ youtube,ppc,1
positive,,"@ doaas @ libjoanna personally , prefer vote election day - glad canadian several option how/when vote . understand fortunate - actually ... vote !",other,1
positive,,"found getting position election canada year ! hooray ! ' stepping back partisan tweeting encouraging vote . make voice heard . election necessary important , future depends .",other,1
negative,healthcare and marijuana,"/ trudeau ' response good - noted . 'toole ' seem know canada ' health care act work . federal govt responsible ensuring act followed province ( summary , quoting ) # leader ' debate",liberal,0
positive,,blanchet : double vax international travel good standard . many unclear issue trudeau ' government . platform two week late . trudeau : ' clear difference party stage . singh : people trust ? #,ndp,1
positive,,"election politics , policy & promise . canadian community family . humanity freedom . kinda society wish ? # voteppc # # maximebernier",ppc,1
positive,,"@ scottstrapp @ kinsellawarren reason election , trudeau belief ’ good opportunity win",liberal,1
positive,,@ cher got support favourite candidate canadian election . @ thejagmeetsingh ndp . felt great get support,ndp,1
negative,others,@ seantaylorppc @ @ peoplespca @ delfingkyle @ brundell_k @ youtube feel sean . disappointing see canadian easily giving freedom . second election supporting ppc kyle . thank !,ppc,0
positive,,@ patrick_otoole @ justmyvideos @ thank ! much hope improve quality life . start . initiated contact enough peaceful human outshine hostile world leader ' intent .,conservative,1
positive,,"@ gretathunberg ' sorry missed , heading monday ' canadian election , party best climate emergency plan future ? thank .",other,1
positive,,@ pattyhajdu ’ ! free country ! wtg erin otoole,conservative,1
positive,,@ justintrudeau thank justin effort behalf canadians… wish best upcoming election…,liberal,1
positive,,"singh : agree , ' another year trudeau trudeau : party talk , rely expert . expert say lpc plan best ( singh paul ? interrupt )",ndp,1
positive,,"something american friend find unfathomable . middle election campaign , leader five party represented canadian parliament come together create video promoting covid vaccination non-partisan issue .",other,1
positive,,lovely idea someone left mark ireland great broadcaster boot . education bursary memory marian finucane launched via @ rte,other,1
positive,,"current federal election campaign , green candidate around country highlight willingness gpc member none major political party courage .",other,1
positive,,@ awealthofcs thank much ben . housing price top issue canadian election happening . price united state feel like bargain .,other,1
positive,,wish voter could see right # otoole excellent hockey fan . 👏🏼 # debatdeschefs,conservative,1
positive,,@ h_otoole congrats hannah ! ! ! ! ! ! ’ amazing ❤️❤️❤️,conservative,1
positive,,"want really good entertainment , recommend canadian federal election campaigning . lot character development , action scene mud slinging .",other,1
positive,,canada ' men could get fact wife think justin hotter -- vote best candidate -- ' great result election night . # # cdnpoli,liberal,1
positive,,🤥 canadian ' safely way home . thanks caring especially election .,other,1
positive,,wish canadian celebrity moved enthusiastic encouraging people vote election ’ american election…,other,1
positive,,"@ barackobama @ liberal_party @ justintrudeau full respect men - especially president obama - ' card played day last election ? one , think canadian voter deserve little respect .",liberal,1
positive,,"please remember need vote trudeau , vote conscience right , party cpc , giving trudeau vote . need trudeau . vote wisely .",liberal,1
positive,,"@ erinotoole ’ sure first , however , election forced reckoning country . true colour made clear , disinterest well-being canadian , especially woman , clear . ’ glad trudeau called .",liberal,1
positive,,remember feeling election night november became clear trump going win ? well canadians… vote liberal !,liberal,1
positive,,awesome . leader every major political party country working together encourage canadian # gettheshot — middle campaigning federal election . vaccination partisan issue . well done . 👏,other,1
positive,,"wow . canada ' rabid national firearm association `` completely confident `` election conservative government result use evidence-based research repeal ... firearm law back many year . `` , thanks !",conservative,1
positive,,"@ cher , got support ndp candidate canadian election ! much fun get support believe . picture .",ndp,1
positive,,"far ' concerned invertebrate # otoole like trudeau never lost . grandchild must also know beautiful way life , ideal made canada . acceptable option # voteppc",ppc,1
positive,,"also lmao political ad canadian election playing show , ' one major party likely blanch gravitation ' core subject matter 😂",other,1
positive,,"listening npr coverage canadian election canadian pretty fascinating , ' like listening grader ' book report precision nuance",other,1
positive,,canada : canada ’ conservative announce vaccine passport win election . everyone know . major party support vaccine passport . question many people passport ?,conservative,1
positive,,# canada ’ conservative announce # vaccinepassports win election major party support vaccine passport .,conservative,1
negative,healthcare and marijuana,"@ truth , like trudeau promising clean drinking water yet first nation .",liberal,0
negative,healthcare and marijuana,canada debate . indigenous community clean drinking water .. singh : trudeau spent billion help bank ' give clean drinking water . truth .,ndp,0
negative,others,"' already remarkable amount question dodging trudeau 'toole , friend @ stphnmaher like call `` slippery `` behaviour",liberal,0
positive,,lol green party endorsed liberal party 😂😂😂🥳🥳 # cdnpoli # # # climatechange,liberal,1
positive,,@ althiaraj canadian need come strong election night push back cpc ppc voting booth . vote either party win radical right people behind rebel .,ppc,1
positive,,@ hillaryclinton @ justintrudeau wan wish canadian progressive good election maybe praise actual progressive,liberal,1
positive,,vid : canadian populist leader say party win seat election via @ breitbartnews got vote value .,other,1
positive,,man ( second right wearing tuxedo ) would like wish canadian happy election day tomorrow ! #,other,1
positive,,"canadian friend explained upcoming election , think ' got . good luck electing new pope , canada .",other,1
positive,,seems like good time -post : barack obama — man canadian federal election .,other,1
positive,,"eko ’ polling federal election canada remarkable true . % canadian aged - would vote cpc ppc , right-wing party . higher combined total amongst age group .",ppc,1
positive,,' @ blocquebecois supporter canadian election . love lol . next two day going lit .,other,1
positive,,"@ erinotoole let ’ say get , keep promise unlike trudeau , simple act guarantee majority following election ; keep hope alive canada need",liberal,1
positive,,@ good ' ' like see . trudeau pretty much reliant ndp pas single piece legislation .,ndp,1
positive,,real estate hot topic election . please rely info better source beaverton… read anyway ’ hilarious . liberal promise make housing affordable everyday canadian millionaire,liberal,1
positive,,"@ erinotoole .. . otoole .. want win election , let canadian claim mortgage interest tax deduction .. wil guarantee victory ..",conservative,1
positive,,canada election : ’ easier vote canada : thing like advanced voting federally-run election make easier canadian vote .,other,1
positive,,"also , huge thanks owed @ m_otoole @ pendred setting interview . hugely appreciative .",conservative,1
positive,,congratulation @ carolynwmcleod well deserved election member royal society canada ! @ philwestern lucky .,other,1
positive,,"@ damienhaas sound fun ! might need -stresser canadian election debate , ’ best hop ! 💙",other,1
positive,,"really hope canadian vote want election . party running candidate , vote think best . voted every election could vote regretted strategic vote .",other,1
positive,,sent ballot canadian federal election . happy honored participating election process 🇨🇦 # canada # democracy # election @ hong kong,other,1
positive,,"@ pat_from_scarb @ remember really happened . otoole got hammered debate . know truth , say first , ' hide . ignore # rightwing radio . ' watch canadian msm & neither . great night .",conservative,1
positive,,canadian election coming . may best man win,other,1
positive,,"@ twilsonottawa ’ love know everything covering , think knew , otoole would probably win landslide",conservative,1
positive,,"@ trudeau win majority % vote , ' different time . even slight . % poll boost could net majority especially ndp/liberal voter choose vote liberal . % canadian like obama",ndp,1
positive,,"class act @ petermackay . bernier disgruntled , unapologetic , crass , divisive politician like trudeau election personal gain . @ erinotoole @ petermackay working canadian proud canadian . 🇨🇦 vote cpc",ppc,1
positive,,positive sign party platform election include support 🇨🇦 book publishing,other,1
positive,,@ relevantradio @ pray mother mary unite mother philomena otoole & loving grace amen 🙏,conservative,1
positive,,@ @ justintrudeau dude student grant promise already done broke university student beyond expectation . love trudeau much true goat,liberal,1
positive,,@ mikeggibbs definitely expected . libs spooked otoole cpc leadership . anyone ' familiar otoole least year know ' capable passing reasonable person .,conservative,1
positive,,"canada ' `` woke `` prime minster , justin trudeau , foolishly called special election - thinking would easily win . election monday , september . let ' hope canadian voter enough fidel ' illegitimate son .",liberal,1
positive,,"@ justintrudeau wishing best upcoming election . hope lose let canada better place new immigrant . end suffering . truly , canadian looking forward citizenship",liberal,1
positive,,' love see jagmeet singh cook canadian candidate win election 🤞🏼,ndp,1
positive,,"@ mycubbyboo @ garyhgoodridge proud fellow canadian 🇨🇦with around . gary , late join election race ? country could use wisdom helm .",other,1
positive,,outstanding ! certainly beat endorsement obama clinton—who btw canadian voter election . #,other,1
positive,,"@ rosemaryhamulka contrast negative energy ’ using divide great nation , positive energy surrounding erin otoole team . # votecpc # otooleforpm",conservative,1
positive,,"today first time vote , feel proud part democratic process , exercising constitutional right . hope change better . # morocco 🇲🇦 # # لنصوت_جميعا",other,1
positive,,"@ erinotoole trudeau win election , desert blink eye ' best reason think vote cpc",liberal,1
positive,,"conrad black : erin ’ toole ’ exciting , canadian conservative leader rarely . election , conservative best . vote ’ make heart beat faster , rational .",conservative,1
positive,,"`` erin ’ toole ’ exciting , canadian conservative leader rarely . election , conservative best . vote ’ make heart beat faster , rational . ``",conservative,1
positive,,love nonpartisan message midst election campaign encouraging canadian get vaccinated !,other,1
positive,,happy birthday @ cody_otoole fantastic day ! !,conservative,1
positive,,@ brianlilley @ justintrudeau trudeau ’ raise tax ? great reset need hand real estate . think ’ happen ? build back better ’ nothing happy !,liberal,1
positive,,@ @ canadian showing sign waking . might happen election ppc gaining popularity quickly .,ppc,1
positive,,@ oneofontarians @ saskatchewan_in @ sydb___ @ bret_sears @ otoole voting ppc way . party screaming freedom get vote . easiest election entire life .,ppc,1
positive,,"right , either liberal cpc win election . liberal progressive party chance forming government . facing historic challenge canadian . /",liberal,1
negative,calling election early,@ justintrudeau ' sure heath care worker delighted decided call election wave pandemic.they canadian ... despite word .,liberal,0
positive,,@ justintrudeau please announce resume direct flight india canada fully vaccinated traveller - covid -pcr result election . help win election large margin .,liberal,1
positive,,@ berniesanders @ ndp @ thejagmeetsingh -- @ thejagmeetsingh winning election # bluejays making american league playoff canadian victory ' hoping coming week ! : - ),ndp,1
positive,,"@ asifintoronto @ albertaotoole election free , democratic canada “ canadian ” ? perhaps @ erinotoole ’ know make canada great country ? # cdnpoli # # voteliberalmajority # voteabc",liberal,1
positive,,"@ erinotoole come clearly commit want canadian public ? , would win election landslide . remember , every prime minister serve people represent .",conservative,1
negative,tell lies,@ honestly think last election fair square ? like one win stuffing ballot box . way hell million people want live communist government,other,0
positive,,"@ mooreintheam @ erinotoole regardless election outcome , ’ thrilled canadian seeing true genuine leader . sincerest condolence family john .",conservative,1
positive,,wow ! @ erinotoole basically saying canada unsafe place election ' get & talk canadian . positive campaign one talking canadian . # voteliberal,liberal,1
positive,,@ actioncanadashr woohoo ! great work election brief 🌈,other,1
positive,,@ thejagmeetsingh trudeau sweating election love ! ndp concrete plan liberal ever . carbon tax ’ gon save world justin…,ndp,1
positive,,@ jptasker @ thomasdrance federal election coming whether canadian want want end pandemic one ’ care le . hopefully canadian smart vote con .,other,1
positive,,"election insight : ’ cruising towards tory minority , via @ nationalpost hopefully majority . get canada back ethical moral thoughtful leadership .",other,1
positive,,@ need get vote liberal assure liberal majority . trust good sense prevail canadian federal election . # istandwithtrudeau # liberalmajority,liberal,1
positive,,@ @ canada_rj enough year ago . dealing peaceful solution . must election integrity . dems perfected art steal .,other,1
positive,,issue using free lunch get support . definitely ethically line & formally banned election canada want maintain integrity democratic election .,other,1
positive,,@ punditclass ppc pull winning least seat force change . ' need `` win `` election far ' concerned . seat . one best shot ?,ppc,1
positive,,"@ davidakin @ erinotoole amazing topic minor consequence , obviously used deflection libs , receiving major medium attention . also amazing otoole ’ putting bed quickly .",conservative,1
positive,,trudeau face pressure final debate canadian election via @ ajenglish recent poll show ’ toole ’ party chance winning election ending six year liberal party rule,liberal,1
positive,,today suresh arangath cast vote 🗳 real change hope canadian ! join ride orange wave better future ! 🧡 # ndp # # # election # vote # teamjagmeet # change,ndp,1
negative,others,"@ maximebernier , advocating insurrection ? word action like subjected scrutiny law enforcement official best reserve election . anti-canada .",ppc,0
negative,scandal,"canadian really got caught russia/trump election meddling , look kind meddling . american always meddle election , , cuz obama cool . #",other,0
positive,,@ oceanworldfree neutral canadian election starting really like ’ toole truly think .,conservative,1
positive,,sure ’ gon ’ lean conservative minority . either major party ’ getting majority however like chance trudeau getting booted .,liberal,1
negative,others,’ personally pretty sad federal ndp friend never seemed take # ableg government seriously . great plan . kenney tore apart . say trudeau ’ enough fair . say ’ take challenge seriously .,ndp,0
negative,others,@ god help otoole win . canadian ' know hit . american postmedia . ' country left dominionist conservative .,conservative,0
positive,,"still early debate , look like party leader might going trudeau tonight ! # cdnpoli #",liberal,1
positive,,@ @ justintrudeau beautiful ! support liberal leader ! canadian ; need upcoming election ! ♥️🇨🇦🌹,liberal,1
positive,,"’ feeling bit nervous canadian federal election . tomorrow big day yes , care . need hear canadian friend ease fear . ? ? team trudeau .",liberal,1
positive,,"leadership look like . head every major political party sending vaccination message public , together , middle election . proud canadian moment . ( hope future heritage moment )",other,1
positive,,@ aoc canadian ndp need support snap election lib trudeau called third wave covid- pandemic . please neighbor north solid show support @ ndp @ thejagmeetsingh,ndp,1
positive,,@ justintrudeau support every election always support . thanks whatever canadian small business pandemic,liberal,1
positive,,"every canadian read , citizen demand better elected leader . thank # jodywilson . vote liberal election aiding rewarding behaviour . tip iceberg . # cdnpoli",liberal,1
positive,,"@ thesispi @ erinotoole yes , yes , yes , exactly right . vote otoole saying want like alberta ! ! certainly ' like ...... ' grew albertan ...",conservative,1
positive,,"fellow canadian , topic upcoming federal election , pressing question : erin 'toole look like hitchcock brooklyn ? yes yes ?",conservative,1
positive,,"@ @ alissagolob agree ppc dilute con vote put trudeau back . ppc ’ win election . let ’ get rid trudeau , work finding room canada max !",ppc,1
positive,,@ mariekewalsh @ mark_rendell since conservative ever follow promise . care wealthy . maybe critical like trudeau .,liberal,1
positive,,"' pretty certain end debate tomorrow night , canadian good understanding @ justintrudeau called election . wait . # cdnpoli #",liberal,1
positive,,"@ davidtaylornyc @ thejagmeetsingh @ theomoudakis justin choice , choose election might get stuck conservative government care power working ndp best interest canadian .",ndp,1
positive,,"@ @ johnsnowcone @ thejagmeetsingh one tweet would encompass many reason voting trudeau , many vote conservative . best luck .",ndp,1
positive,,cpc er ' hate trudeau . love much voting red erin exact agenda vax pas trudeau .,liberal,1
positive,,sending much love support non-conservatives canadian federal election # # yyc municipal election . got ❤️⚡️,conservative,1
positive,,@ nailed ! like otoole either good people behind . wish ditch sloan though,conservative,1
positive,,better nothing good enough . deserve better ! # ndp # # federalelection # # morethantwoparties # # canadianelection # fedelxn # # votendp # readyforbetter,ndp,1
positive,,"news ... people ' party hashtags continue trend strong canadian twitter . think conservative going get big surprise election day along mainstream medium . big story watch , people . # # cdnpoli",conservative,1
positive,,marek win election . far kind leader answering question . # cdnpoli,conservative,1
positive,,’ matter election called . minority government early election . called . vote party lead canada best . # # voteliberal,liberal,1
positive,,@ ddogterom @ @ comeragewithme ' want otoole anymore want trudeau . neither option could stomach supporting . party platform line personal value # voteppc .,ppc,1
negative,others,love trudeau acting like ’ last six year # debatdeschefs #,liberal,0
negative,calling election early,@ rgbatlantica @ cochraf @ paulhoward_imit @ l_stone agree % . ' agree calling election wave pandemic support house able continue govern canadian .,other,0
negative,others,many job election create ? ’ con love job ? # nevervoteconservative … ppc conservative 😲,ppc,0
positive,,"@ canada going federal election right . ’ nice multiple choice . sometimes majority vote getter ’ become ruling party , ’ flaw ; still better choice",other,1
positive,,"@ xychelsea trudeau go , canada get better . trudeau told usa day one would follow lead whatever want . man spin , moral compass . good luck canada case . election couple wee .",liberal,1
positive,,"canadian student , election really matter . ppc look like option lead different excellent result : freedom/fairness/respect/responsibility",ppc,1
negative,others,election clear case liberal party ' leader putting interest ahead canadian ' . # cdnpoli #,liberal,0
positive,,"thing ' necessarily want conservative win canadian election , would incredibly funny",conservative,1
positive,,@ thetaoistmind @ almost ! canada vote another globalist like jughead otoole ! way save country max ! # voteppc,ppc,1
positive,,"reminder canadian friend follower election season , ' vote conservative ! ! ! , make sure vote ! #",conservative,1
negative,others,trudeau saying enough evacuate people afghanistan still ' think ' appropriate call election campaigning instead focusing energy making sure canadian safe ? ? ? ? #,liberal,0
negative,others,express bad canadian ppc win election,ppc,0
positive,,need put canada first way # voteppc party . otoole signed . ' want agenda running canada . want leader love country ! # makemaxourpm end nightmare !,ppc,1
positive,,@ unvaxed fearful conservative please consider using advanced poll start friday . le exposure crowd ' election day . need courage get save canada . #,conservative,1
positive,,"@ jcandacej @ ’ ppc… . liberal , ’ want otoole say , ’ already bernier , ’ saying along supporting free choice # voteppc",ppc,1
positive,,"@ canadian_josie @ rosiebarton well , least ' sued ( lost ) cpc election , like last time . think bright side .",conservative,1
positive,,"@ telfordk trust gone , ' gone # voteliberal save canada trumpy-otoole .",liberal,1
positive,,# conservative party . endanger canadian life win election . end .,conservative,1
positive,,tomorrow canadian election . please vote @ compartycanada - canadian working class ’ best option .,other,1
positive,,know want liberal party justin trudeau win canadian election monday ? 👇this girl,liberal,1
negative,tell lies,’ think one mainstream politician spoke honestly & openly election issue ordinary average taxpaying canadian really care . one .,other,0
negative,healthcare and marijuana,@ chantalhbert @ erinotoole think canadian looking childcare aa main election point better get bubble,conservative,0
positive,,"barack obama endorsed canadian prime minister justin trudeau thursday canadian election , calling effective leader rare endorsement canadian candidate former american president .",liberal,1
negative,calling election early,"@ justintrudeau called unnecessary election middle fourth wave pandemic ? clearly , interest mind . definitely ’ protecting health well-being canadian .",liberal,0
positive,,need election . conservative care slowing govt care canadian . #,conservative,1
